# Stage-1 fork-fix shortlist — 252 rows (2026-08-14)
#
# GENERATED, then hand-filtered. Reproduce with:
#   scripts/fork-triage.sh e97087b main | grep -iE 'fix|bug|crash|correct|revert'
# (the script enumerates every commit in the e97087b...main compare; the grep is what cuts it to
# these 252). Columns, tab-separated: short sha, PR number (blank if the subject carries none),
# commit subject. Classification of these rows lives in fork-fix-ledger-2026-08.md; 35 are
# classified there and 217 remain deferred.
0038b7f1d		Missed changes for correctFidForRemovedItem
016c83bc4	161	Inventory Item not Disappearing Fix (#161)
0303a0029	219	Merge pull request #219 from fallout2-ce/trade-and-barter-glitch-fix
07d1649b6	409	Attempt to fix windows CI (#409)
0873eaab3	76	Fix for #76 (occasional crash when using skills on scenery objects).
0a73abe67	333	Barter hook refactoring and Keypress hook repeat fix (#333)
0ba670f0f		Add debug message when everything is ok
0d0578f11		Revert "Add --force flag to re-install in case of used cache"
0d40fa458	678	Fix map load crash for Et tu (#678)
0d8741e08	434	Debug logging improvements (#434)
0e18e7790		Fix formatting
0e773d521		Perk review fixes
0f3023dc9		Fix runawaymode and disposition validations
0fc042ef8	484	Fix save games being missing on Mac OS (#484)
0fc5d24a0	653	fix removing next object after hidden object when critter dies (#653)
10ebd28a4	410	Fix f2_res migration never working (#410)
12fe582e6		Fixed AI loading single-rounds in magazines.
15aa1db28		Revert initialization order of gTownMapHotkeysFix
168f25002		Trying to fix CI release
16bc15684	617	[Et tu] Fix several issues with TMA (#617)
18c05d438		Fixed clang-format error
196553ec4	174	Don't crash if game resolution is <800 with custom interface bar (#174)
196ad2267		Fix formatting
1afe925cb	486	Better fix for directory detection (#486)
1d5359496		Fix initialization place
1d6111b89	202	Merge pull request #202 from fallout2-ce/fix-for-splash-screens
1e3aacebd		Fix build cmd
1e91b401f		Fix stats test
1f0f08f3e		Use DWARF for debug build
20ad8d877		mapper: fix SAV files being created in the dev_path
20bcb2360		Fix env, add prune
20e80d4bb		fix the spaces and make rgb to rgb555 color conversion constexpre function
2112b04c5	63	Merge pull request #63 from roginvs/fix_ci_release_names
2183c3914	492	Fix Goris robe/disrobe (#492)
21a98bebb	591	Correct PC placement when screen is large (#591)
22a864a0c		Ignore cities count if CitiesLimitFix is enabled
2395a6da3		Fix formatting
23e9eab72	311	Fix crash/glitched map when the encounter table has no available entries (#311)
